SiO2med,Al2O3med,Fe2O3Tmed,MnOmed,CaOmed,MgOmed,K2Omed,Na2Omed,TiO2med,P2O5Tmed,LOImed,SiO2mean,Al2O3mean,Fe2O3Tmean,MnOmean,CaOmean,MgOmean,K2Omean,Na2Omean,TiO2mean,P2O5Tmean,LOImean,Basin_ID,RiverNames,TSS_Mt_a,fSiO2,fAl2O3,fFe2O3T,fMnO,fCaO,fMgO,fK2O,fNa2O,fTiO2,fP2O5_tot,fLOI
14.855,10.1,3.14,0.04,0.57,0.78,1.14437563467675,0.255,0.28,0.072445886,NaN,20.1941666666667,12.9924863996928,4.90020620035562,0.0605011615819059,0.775477577336537,1.04944208305972,1.63151410017055,0.283333333333333,0.509027303976562,0.106962689592367,NaN,1001,Amazon,1200,242.33,155.909836796313,37.68,0.726013938982871,6.84,9.36,13.732507616121,3.06,3.36,0.869350632,NaN
41.1,15.4,4.9,0.08,0.64,0.73,1.6,0.34,0.455,0.0920015775,NaN,41.8909090909091,14.8181818181818,4.8,0.0936363636363636,0.624545454545455,0.737272727272727,1.61181818181818,0.335454545454545,0.426,0.0879106684090909,NaN,1002,Orinoco,210,87.9709090909091,31.1181818181818,10.29,0.196636363636364,1.344,1.533,3.36,0.714,0.9555,0.19320331275,NaN
18.7,13.3,4.8,0.05,0.29,0.22,0.4,0.12,0.31,0.14,NaN,21.2363636363636,13.6909090909091,5.63636363636364,0.0645454545454545,0.304545454545455,0.273636363636364,0.524545454545455,0.175454545454545,0.33,0.137272727272727,NaN,1003,Maroni,0,0,0,0,0,0,0,0,0,0,0,NaN
58.0610518163867,17.6249076525127,7.44388669107692,0.0348631363652211,0.870294011061969,1.62179372375779,2.55954668269596,0.903139014661855,0.910746812386157,0.050188415,NaN,58.758469019487,18.058854242442,7.31630716118151,0.0348631363652211,0.865396858266604,1.64058751605764,2.46578818771455,0.876269505668433,1.11313499291641,0.106088078496476,NaN,1004,Paraná,90,52.8826221175383,16.2529688181978,6.69949802196922,0.031376822728699,0.783264609955772,1.45961435138201,2.30359201442636,0.81282511319567,0.819672131147541,0.0451695735,NaN
52.55017232195,15.3216526751957,11.3742131126212,NaN,1.35056478163596,1.08948719479434,1.15479547598196,0.68827280729305,0.837736944294321,NaN,NaN,52.55017232195,15.3216526751957,11.3742131126212,NaN,1.35056478163596,1.08948719479434,1.15479547598196,0.68827280729305,0.837736944294321,NaN,NaN,1005,Uruguay,10,5.255017232195,1.53216526751957,1.13742131126212,NaN,0.135056478163596,0.108948719479434,0.115479547598196,0.068827280729305,0.0837736944294321,NaN,NaN
60.2,13.6,3.7,0.11,5.08,1.53,0.24,3.13,0.51,NaN,NaN,60.2,13.6,3.7,0.11,5.08,1.53,0.24,3.13,0.51,NaN,NaN,1006,Rio Colorado,0,0,0,0,0,0,0,0,0,0,NaN,NaN
56.6,14.7,5.8,0.22,3.35,1.99,1.88,2.53,0.71,NaN,NaN,56.6,14.7,5.8,0.22,3.35,1.99,1.88,2.53,0.71,NaN,NaN,1007,Rio Negro,0,0,0,0,0,0,0,0,0,0,NaN,NaN
57.3,13.5,5,0.16,3.06,1.89,1.64,1.59,0.65,NaN,NaN,57.3,13.5,5,0.16,3.06,1.89,1.64,1.59,0.65,NaN,NaN,1008,Rio Chubut,0,0,0,0,0,0,0,0,0,0,NaN,NaN
61.2,16,5.7,0.09,3.12,2.38,1.41,0.46,0.72,NaN,NaN,61.2,16,5.7,0.09,3.12,2.38,1.41,0.46,0.72,NaN,NaN,1009,Rio Deseado,0,0,0,0,0,0,0,0,0,0,NaN,NaN
56.2,17.8,6.9,0.09,2.08,2.43,2.83,0.95,0.58,NaN,NaN,56.2,17.8,6.9,0.09,2.08,2.43,2.83,0.95,0.58,NaN,NaN,1010,Rio Chico,0,0,0,0,0,0,0,0,0,0,NaN,NaN
60.2,15.8,5.7,0.13,1.79,1.88,2.42,1.7,0.66,NaN,NaN,60.2,15.8,5.7,0.13,1.79,1.88,2.42,1.7,0.66,NaN,NaN,1011,Rio Santa Cruz,0,0,0,0,0,0,0,0,0,0,NaN,NaN
57.3,16.9,7.5,0.11,2.04,2.41,2.24,0.96,0.74,NaN,NaN,57.3,16.9,7.5,0.11,2.04,2.41,2.24,0.96,0.74,NaN,NaN,1012,Rio Coyle,0,0,0,0,0,0,0,0,0,0,NaN,NaN
63.7,14.7,5.4,0.18,3.11,1.81,1.43,2.91,0.74,NaN,NaN,63.7,14.7,5.4,0.18,3.11,1.81,1.43,2.91,0.74,NaN,NaN,1013,Galegos ,0,0,0,0,0,0,0,0,0,0,NaN,NaN
50.0600078298987,21.5398742751549,7.39170156398111,0.348631363652211,0.615642065703,1.42611718040051,3.78246262408947,1.80627802932371,NaN,NaN,NaN,50.0600078298987,21.5398742751549,7.39170156398111,0.348631363652211,0.615642065703,1.42611718040051,3.78246262408947,1.80627802932371,NaN,NaN,NaN,2002,Conneticut,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN
55.4082992647169,21.7288205407264,10.4227281240662,0.296982272740772,1.18930853601716,0.82913789558169,1.48166529542358,1.77931865575172,NaN,NaN,NaN,55.4082992647169,21.7288205407264,10.4227281240662,0.296982272740772,1.18930853601716,0.82913789558169,1.48166529542358,1.77931865575172,NaN,NaN,NaN,2021,Neuse,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN
54.552572635146,21.1619817440118,7.27732320322318,0.232420909101474,1.17531667088755,1.14421029590273,1.51780347336074,0.283073422505955,NaN,NaN,NaN,54.552572635146,21.1619817440118,7.27732320322318,0.232420909101474,1.17531667088755,1.14421029590273,1.51780347336074,0.283073422505955,NaN,NaN,NaN,2032,Mobile,4.5,2.45486576858157,0.952289178480532,0.327479544145043,0.0104589409095663,0.0528892501899396,0.0514894633156229,0.0683011563012334,0.012738304012768,NaN,NaN,NaN
61.5053515004097,13.1317654572216,5.07553975863306,0.109754318186807,1.81194653428497,1.74118958072155,2.04783008310576,0.660504652513894,NaN,NaN,NaN,61.5053515004097,13.1317654572216,5.07553975863306,0.109754318186807,1.81194653428497,1.74118958072155,2.04783008310576,0.660504652513894,NaN,NaN,NaN,2033,Mississipi,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN
62.0401806438915,18.1388414948673,5.54735049675952,0.193684090917895,0.839511907776819,0.945217200963126,1.33711258367494,0.323512482863948,NaN,NaN,NaN,62.0401806438915,18.1388414948673,5.54735049675952,0.193684090917895,0.839511907776819,0.945217200963126,1.33711258367494,0.323512482863948,NaN,NaN,NaN,2046,Sabine,0.75,0.465301354829186,0.136041311211505,0.0416051287256964,0.00145263068188421,0.00629633930832614,0.00708912900722345,0.010028344377562,0.00242634362147961,NaN,NaN,NaN
49.8460761725059,15.8714863080089,5.16132352920151,0.0774736363671579,8.05931431465746,1.90701715983789,1.51780347336074,0.350471856435944,NaN,NaN,NaN,49.8460761725059,15.8714863080089,5.16132352920151,0.0774736363671579,8.05931431465746,1.90701715983789,1.51780347336074,0.350471856435944,NaN,NaN,NaN,2048,Brazos,9.2,4.58583900787055,1.46017674033682,0.474841764686539,0.00712757454577853,0.741456916948486,0.175445578705086,0.139637919549188,0.0322434107921068,NaN,NaN,NaN
40.4330832472258,7.93574315400443,3.84597238048534,0.0645613636392982,17.3499127607209,1.57536200160521,1.51780347336074,0.458309350723927,NaN,NaN,NaN,40.4330832472258,7.93574315400443,3.84597238048534,0.0645613636392982,17.3499127607209,1.57536200160521,1.51780347336074,0.458309350723927,NaN,NaN,NaN,2049,Rio Grande,0.66,0.266858349431691,0.0523759048164293,0.0253834177112032,0.000426105000019368,0.114509424220758,0.0103973892105944,0.0100175029241809,0.00302484171477792,NaN,NaN,NaN
61.6480439158906,15.8047882762621,6.94819947014224,0.15935309290586,1.58024124773856,1.93985102050292,1.56996291018338,2.59025661279735,0.779972911120452,0.250217106876159,NaN,61.6480439158906,15.8047882762621,6.94819947014224,0.15935309290586,1.58024124773856,1.93985102050292,1.56996291018338,2.59025661279735,0.779972911120452,0.250217106876159,NaN,2076,Skeena River,0,0,0,0,0,0,0,0,0,0,0,NaN
63.8044750224093,13.8641211825769,6.64824221905458,0.122481920465874,0.850145725275325,2.73980326216014,1.7800461845914,1.98016598886308,0.670049440541244,0.230053090937421,NaN,63.8044750224093,13.8641211825769,6.64824221905458,0.122481920465874,0.850145725275325,2.73980326216014,1.7800461845914,1.98016598886308,0.670049440541244,0.230053090937421,NaN,2077,Nass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.6263533851476,14.1843851027206,6.46823927381179,0.134825059737629,1.49013363630385,2.42970568921258,1.88002847688421,2.07021029659355,0.699907257284306,0.22020021951281,NaN,62.6263533851476,14.1843851027206,6.46823927381179,0.134825059737629,1.49013363630385,2.42970568921258,1.88002847688421,2.07021029659355,0.699907257284306,0.22020021951281,NaN,2078,Stikine,18,11.2727436093266,2.55318931848971,1.16428306928612,0.0242685107527733,0.268224054534694,0.437347024058265,0.338405125839159,0.372637853386839,0.125983306311175,0.0396360395123058,NaN
NaN,13.73,5.82,0.14,5.38,2.33,2.41,1.16,0.64,0.1422386295,NaN,NaN,11.43,4.63666666666667,0.12,5.12333333333333,2.07333333333333,2.01,1.22333333333333,0.51,0.125571962833333,NaN,3001,Donau,0,NaN,0,0,0,0,0,0,0,0,0,NaN
33.9537351397722,10.9732433193324,4.53881930077649,0.0600420681845474,17.4323248463343,0.959975855504481,1.36000009636847,0.234836136913899,0.490068522855408,NaN,28.73,33.9537351397722,10.9732433193324,4.53881930077649,0.0600420681845474,17.4323248463343,0.959975855504481,1.36000009636847,0.234836136913899,0.490068522855408,NaN,28.73,3002,Seine,0.7,0.237676145978406,0.0768127032353269,0.0317717351054354,0.000420294477291832,0.12202627392434,0.00671983098853136,0.00952000067457932,0.00164385295839729,0.00343047965998786,NaN,0.20111
43.9,7.96645636947309,5.61608073968486,0.250564840914344,7.85640904378194,1.71230341140496,1.37280782801118,0.335721169982894,0.0935767329209952,1.20965993845392,25.9,43.9,8.02678333073563,5.61720209616288,0.252484803035643,7.94173198604292,1.70039200555863,1.38885743056563,0.336003979097816,0.0939888355510342,1.21138295541304,25.9,3004,Rhine,0.07,0.03073,0.00561874833151494,0.0039312565177794,0.00017673936212495,0.00549948633064736,0.00119861238798347,0.000960965479607829,0.000235004818988026,6.55037130446967e-05,0.000846761956917747,0.01813
60.978,13.9929,16.064,0.7291,1.9236,0.3615,1.9171,0.015,1.485,2.62957098764725,NaN,60.978,13.9929,16.064,0.7291,1.9236,0.3615,1.9171,0.015,1.485,2.62957098764725,NaN,3007,Elbe,0.84,0.5122152,0.11754036,0.1349376,0.00612444,0.01615824,0.0030366,0.01610364,0.000126,0.012474,0.0220883962962369,NaN
51.9853927464332,8.56871314366907,6.31940443187553,0.47052777233803,5.86259148930812,1.0778792642562,1.89123131204473,0.539187471439914,0.5587915423981,1.66123994949831,NaN,53.2957241479637,8.41991795953149,6.53207669640981,0.626853970558216,5.71567690544717,1.10275340112365,1.88219676756044,0.540872432288163,0.565046671604049,1.7042030516405,NaN,3008,Scheldt,0.75,0.399717931109728,0.0631493846964862,0.0473955332390665,0.00470140477918662,0.0439694361698109,0.00808409448192148,0.0141842348403355,0.00404390603579935,0.00419093656798575,0.0124592996212373,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.394135307246123,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.361973746604022,27.3333333333333,3010,Loire,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00197067653623061,0.135
42.0630914116814,12.2100650117445,4.8025711573755,0.173186142680235,15.5612618749445,1.7319326018585,2.1857801885825,0.56556510198171,0.55012225024523,0.335346259689612,NaN,39.2705022515538,11.3166273429986,4.76675953557289,0.321869285681288,14.926323011414,1.80157348744407,2.2168800867099,0.61220634858869,0.554611628931531,0.383831960054974,NaN,3011,Rhône,0,0,0,0,0,0,0,0,0,0,0,NaN
NaN,NaN,NaN,0.232420909101474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.232420909101474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3021,Krka,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,9.05,5.295,0.19691215909986,4.035,NaN,1.635,NaN,NaN,NaN,NaN,NaN,8.61666666666667,5.15666666666667,0.202077068191003,3.975,NaN,1.58333333333333,NaN,NaN,NaN,NaN,3023,Humber,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0686164397921,7.53895599630421,19.158375426953,0.563620704571074,2.50454385820084,1.58862820793452,0.843224151867079,1.49152734287066,0.151123921615725,0.695429413341704,52.4,34.0686164397921,7.53895599630421,19.158375426953,0.563620704571074,2.50454385820084,1.58862820793452,0.843224151867079,1.49152734287066,0.151123921615725,0.695429413341704,52.4,3024,Kalix,0,0,0,0,0,0,0,0,0,0,0,0
57.7615474960369,22.295659337441,8.2924311549498,0.219508636373614,2.72841370027466,2.86881711871265,4.09566016621153,0.754862460015879,0.83401722745985,0.177306119092952,NaN,57.7615474960369,22.295659337441,8.2924311549498,0.219508636373614,2.72841370027466,2.86881711871265,4.09566016621153,0.754862460015879,0.83401722745985,0.177306119092952,NaN,3025,Garonne,1.1,0.635377022456406,0.245252252711851,0.0912167427044478,0.00241459500010975,0.0300125507030213,0.0315569883058391,0.0450522618283268,0.00830348706017467,0.00917418950205835,0.00195036731002247,NaN
NaN,11.8469308513352,6.86270164547569,0.0854921577311587,2.70042997001543,2.43766541301017,2.99946876878432,1.29404993145579,1.06754205114861,NaN,NaN,NaN,11.8469308513352,6.86270164547569,0.0854921577311587,2.70042997001543,2.43766541301017,2.99946876878432,1.29404993145579,1.06754205114861,NaN,NaN,4001,Amur,52,NaN,6.1604040426943,3.56860485564736,0.0444559220202025,1.40422358440803,1.26758601476529,1.55972375976785,0.672905964357012,0.555121866597276,NaN,NaN
58.8846886973487,11.8941674177281,4.25344529068546,0.0645613636392982,7.15683901379738,2.21794387068102,2.15624461691724,1.50972492003176,0.533771025574304,0.179529584754755,8.905,58.8019773703093,11.8245501661782,4.38015685562448,0.0859724942766351,7.33426810652287,2.28050647059214,2.16266609315069,1.50263797470402,0.551816524637922,0.179529584754755,8.905,4002,Huanghe,150,88.2029660554639,17.7368252492674,6.38016793602818,0.128958741414953,10.7352585206961,3.32691580602153,3.23436692537587,2.26458738004764,0.800656538361456,0.269294377132133,13.3575
60.0078298986606,15.1629378121156,6.27651254659131,0.129122727278596,3.96669376424547,2.83979729236729,2.89915042628011,0.813377036373153,0.900738605656638,0.163667186855032,10,59.1097804562021,15.2213099781358,6.32968115428909,0.126191641369372,3.89048042157736,2.79600600184845,2.79728355341078,0.84051190449408,0.900561692911419,0.177377190116409,9.09,4003,Changjiang,470,277.81596814415,71.5401568972382,29.4996089689792,0.59310071443605,18.6434606919537,13.3470472741263,13.6260070035165,3.82287207095382,4.2334714465862,0.769235778218651,47
NaN,13.6230257477076,10.0081065663187,0.0589187004572236,2.81236489105234,3.31655158232676,3.08379118397103,1.17273275038181,NaN,NaN,NaN,NaN,13.6230257477076,10.0081065663187,0.0589187004572236,2.81236489105234,3.31655158232676,3.08379118397103,1.17273275038181,NaN,NaN,NaN,4004,Tumenjiang,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,13.6986042539362,8.43540410589721,0.0521268450023694,3.24611271007036,2.73615505541958,3.45721902265502,1.30752961824179,NaN,NaN,NaN,NaN,13.6986042539362,8.43540410589721,0.0521268450023694,3.24611271007036,2.73615505541958,3.45721902265502,1.30752961824179,NaN,NaN,NaN,4005,Yalujiang,4.8,NaN,0.657533004188939,0.404899397083066,0.00250208856011373,0.155813410083377,0.13133544266014,0.165946513087441,0.0627614216756059,NaN,NaN,NaN
NaN,12.8483460588643,4.50364795484342,0.0589832618208629,4.21155140401371,3.51554467726637,2.60194881147556,1.2536108710978,NaN,NaN,NaN,NaN,12.8483460588643,4.50364795484342,0.0589832618208629,4.21155140401371,3.51554467726637,2.60194881147556,1.2536108710978,NaN,NaN,NaN,4006,Liaohe,2.7,NaN,0.346905343589337,0.121598494780772,0.0015925480691633,0.11371188790837,0.0949197062861919,0.0702526179098401,0.0338474935196406,NaN,NaN,NaN
NaN,11.2423028015063,5.50445861147529,0.085285561367513,3.56792560805148,2.92685677140337,2.95128453153478,1.37492805217178,0.808996710636055,NaN,NaN,NaN,11.2423028015063,5.50445861147529,0.085285561367513,3.56792560805148,2.92685677140337,2.95128453153478,1.37492805217178,0.808996710636055,NaN,NaN,4007,Luanhe,23,NaN,2.58572964434644,1.26602548063932,0.019615679114528,0.82062288985184,0.673177057422774,0.678795442252999,0.316233451999509,0.186069243446293,NaN,NaN
NaN,10.3542553533201,5.8904855790333,0.105131724550233,2.88232421670041,1.70802406489828,NaN,NaN,0.783976193812259,NaN,NaN,NaN,10.3542553533201,5.8904855790333,0.105131724550233,2.88232421670041,1.70802406489828,NaN,NaN,0.783976193812259,NaN,NaN,4008,Huaihe,0.12,NaN,0.0124251064239841,0.00706858269483996,0.00012615806946028,0.00345878906004049,0.00204962887787794,NaN,NaN,0.000940771432574711,NaN,NaN
NaN,14.1331806647507,4.71810738126454,0.121065469096412,1.01860778143587,1.94018267566115,2.31284338797827,0.68746402608589,0.767295849263062,NaN,NaN,NaN,14.1331806647507,4.71810738126454,0.121065469096412,1.01860778143587,1.94018267566115,2.31284338797827,0.68746402608589,0.767295849263062,NaN,NaN,4009,Qiantang,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN
